Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2024-11-08,Leg Press,Legs,125.0,kgs,12,,,,""
2024-11-08,Leg Press,Legs,125.0,kgs,12,,,,""
2024-11-08,Leg Press,Legs,133.0,kgs,12,,,,""
2024-11-08,Hip Abductor Tritte Innen,Legs,60.0,kgs,12,,,,""
2024-11-08,Hip Abductor Tritte Innen,Legs,70.0,kgs,12,,,,""
2024-11-08,Hip Abductor Tritte Außen,Legs,60.0,kgs,12,,,,""
2024-11-08,Standing Calf Raise Machine,Legs,55.0,kgs,12,,,,""
2024-11-08,Standing Calf Raise Machine,Legs,55.0,kgs,12,,,,""
2024-11-08,Standing Calf Raise Machine,Legs,60.0,kgs,12,,,,""
2024-11-08,Lying Leg Curl Machine,Legs,30.0,kgs,12,,,,""
2024-11-08,Lying Leg Curl Machine,Legs,30.0,kgs,12,,,,""
2024-11-08,Lying Leg Curl Machine,Legs,30.0,kgs,12,,,,""
2024-11-08,Romanian Deadlift,Legs,60.0,kgs,12,,,,""
2024-11-08,Romanian Deadlift,Legs,65.0,kgs,12,,,,""
2024-11-08,Romanian Deadlift,Legs,65.0,kgs,8,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,50.0,kgs,12,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,60.0,kgs,12,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,70.0,kgs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,65.0,kgs,6,,,,""
2024-11-10,Rope Push Down,Triceps,35.0,kgs,12,,,,""
2024-11-10,Rope Push Down,Triceps,40.0,kgs,8,,,,""
2024-11-10,Rope Push Down,Triceps,35.0,kgs,8,,,,""
2024-11-10,Seated Machine Fly,Chest,50.0,kgs,9,,,,""
2024-11-10,Seated Machine Fly,Chest,50.0,kgs,6,,,,""
2024-11-10,Seated Machine Fly,Chest,45.0,kgs,6,,,,""
2024-11-10,Seated Shoulder Press,Shoulders,30.0,kgs,5,,,,""
2024-11-10,Seated Shoulder Press,Shoulders,30.0,kgs,4,,,,""
2024-11-10,Hanging Leg Raise,Abs,65.0,kgs,12,,,,""
2024-11-10,Hanging Leg Raise,Abs,65.0,kgs,12,,,,""
2024-11-10,Hanging Leg Raise,Abs,65.0,kgs,12,,,,""
2024-11-11,Lat Pulldown Machine,Back,60.0,kgs,12,,,,""
2024-11-11,Lat Pulldown Machine,Back,70.0,kgs,12,,,,""
2024-11-11,Lat Pulldown Machine,Back,75.0,kgs,12,,,,""
2024-11-11,Lat Pulldown Machine,Back,80.0,kgs,12,,,,""
2024-11-11,Seated Cable Row,Back,50.0,kgs,12,,,,""
2024-11-11,Seated Cable Row,Back,55.0,kgs,12,,,,""
2024-11-11,Seated Cable Row,Back,55.0,kgs,12,,,,""
2024-11-11,T-Bar Row,Back,30.0,kgs,9,,,,""
2024-11-11,T-Bar Row,Back,25.0,kgs,9,,,,""
2024-11-11,T-Bar Row,Back,25.0,kgs,9,,,,""
2024-11-11,Seated Machine Curl,Biceps,25.0,kgs,5,,,,""
2024-11-11,Seated Machine Curl,Biceps,20.0,kgs,8,,,,""
2024-11-11,Seated Machine Curl,Biceps,20.0,kgs,8,,,,""
2024-11-11,Seated Machine Curl,Biceps,25.0,kgs,5,,,,""
2024-11-12,Leg Press,Legs,101.0,kgs,12,,,,""
2024-11-12,Leg Press,Legs,141.0,kgs,10,,,,""
2024-11-12,Leg Press,Legs,149.0,kgs,11,,,,""
2024-11-12,Hip Abductor Tritte Außen,Legs,60.0,kgs,12,,,,""
2024-11-12,Standing Calf Raise Machine,Legs,65.0,kgs,12,,,,""
2024-11-12,Standing Calf Raise Machine,Legs,75.0,kgs,12,,,,""
2024-11-12,Lying Leg Curl Machine,Legs,35.0,kgs,12,,,,""
2024-11-12,Leg Press,Legs,157.0,kgs,9,,,,""
2024-11-12,Hip Abductor Tritte Außen,Legs,60.0,kgs,10,,,,""
2024-11-12,Hip Abductor Tritte Außen,Legs,60.0,kgs,6,,,,""
2024-11-12,Standing Calf Raise Machine,Legs,85.0,kgs,12,,,,""
2024-11-12,Standing Calf Raise Machine,Legs,85.0,kgs,12,,,,""
2024-11-12,Lying Leg Curl Machine,Legs,35.0,kgs,11,,,,""
2024-11-12,Lying Leg Curl Machine,Legs,35.0,kgs,12,,,,""
